,,Hokuriku,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Hokuriku
2023/01/10,05:00,0,3095,438,0,114,0,101,0,0,0,-24,0,0,3724,19.87
2023/01/10,06:00,0,3221,545,0,114,0,102,0,3,0,-181,0,0,3803,20.75
2023/01/10,07:00,0,3282,576,0,113,5,105,0,98,0,-262,0,0,3918,22.45
2023/01/10,08:00,0,3413,666,0,113,38,98,0,0,0,-14,0,0,4314,23.02
2023/01/10,09:00,0,3389,703,0,113,126,94,0,0,143,0,0,0,4568,22.32
2023/01/10,10:00,0,3119,551,0,113,201,91,0,0,447,0,0,0,4521,17.84
2023/01/10,11:00,0,2920,590,0,113,240,78,0,0,521,0,0,0,4462,18.7
2023/01/10,12:00,0,2779,502,0,113,235,74,0,0,533,0,0,0,4236,14.87
2023/01/10,13:00,0,2959,575,0,114,202,60,0,0,453,0,0,0,4362,17.72
2023/01/10,14:00,0,3045,602,0,113,182,53,0,0,317,0,0,0,4311,15.51
2023/01/10,15:00,0,3322,777,0,113,78,43,0,0,0,-61,0,0,4273,20.66
2023/01/10,16:00,0,3308,939,0,114,15,24,0,3,0,-48,0,0,4354,22.61
2023/01/10,17:00,0,3288,1072,0,114,0,23,0,99,0,-246,0,0,4351,26
2023/01/10,18:00,0,3279,1116,0,114,0,13,0,99,0,-325,0,0,4296,25.99
2023/01/10,19:00,0,3257,1008,0,113,0,5,0,99,0,-346,0,0,4137,24.37
2023/01/10,20:00,0,3308,752,0,113,0,2,0,99,0,-281,0,0,3994,22.55
2023/01/10,21:00,0,3334,687,0,113,0,2,0,2,0,-282,0,0,3857,21.65
2023/01/10,22:00,0,3300,541,0,114,0,3,0,0,0,-185,0,0,3772,21.3
2023/01/10,23:00,0,3142,597,0,112,0,6,0,0,0,-77,0,0,3780,20.62
2023/01/11,00:00,0,3182,480,0,113,0,8,0,0,0,-67,0,0,3717,21.23
2023/01/11,01:00,0,3057,524,0,113,0,9,0,0,113,0,0,0,3816,19.68
2023/01/11,02:00,0,3141,666,0,114,0,9,0,0,54,0,0,0,3983,19.78
2023/01/11,03:00,0,3147,771,0,114,0,12,0,0,16,0,0,0,4060,19.92
2023/01/11,04:00,0,3179,776,0,114,0,13,0,0,0,-46,0,0,4035,20.55
2023/01/11,05:00,0,3378,505,0,114,0,14,0,0,17,0,0,0,4028,21.56
2023/01/11,06:00,0,3440,556,0,114,0,12,0,0,19,0,0,0,4141,23
2023/01/11,07:00,0,3515,650,0,112,32,16,0,52,0,-182,0,0,4195,25.79
2023/01/11,08:00,0,3564,618,0,114,223,20,0,99,0,-253,0,0,4384,27.01
2023/01/11,09:00,0,3383,497,0,113,423,15,0,49,0,-83,0,0,4395,24.93
2023/01/11,10:00,0,3016,452,0,113,576,13,0,0,32,0,0,0,4202,21.02
2023/01/11,11:00,0,2552,436,0,113,704,25,0,0,206,0,0,0,4035,17.26
2023/01/11,12:00,0,2358,407,0,111,725,30,0,0,120,0,0,0,3752,12.1
2023/01/11,13:00,0,2439,406,0,112,651,27,0,0,197,0,0,0,3832,16.25
2023/01/11,14:00,0,2564,402,0,112,489,24,0,0,223,0,0,0,3814,18.9
2023/01/11,15:00,0,2981,416,0,112,266,23,0,0,5,0,0,0,3803,22.16
2023/01/11,16:00,0,3329,573,0,112,61,30,0,53,0,-254,0,0,3902,23.5
2023/01/11,17:00,0,3411,795,0,111,0,39,0,100,0,-434,0,0,4021,24.41
2023/01/11,18:00,0,3394,862,0,111,0,42,0,99,0,-449,0,0,4059,26.31
2023/01/11,19:00,0,3369,865,0,112,0,42,0,52,0,-457,0,0,3982,23.68
2023/01/11,20:00,0,3368,764,0,112,0,34,0,0,0,-374,0,0,3904,22.85
2023/01/11,21:00,0,3364,649,0,111,0,44,0,0,0,-383,0,0,3784,22.38
2023/01/11,22:00,0,3207,507,0,112,0,53,0,0,0,-168,0,0,3711,20.8
2023/01/11,23:00,0,2972,466,0,112,0,52,0,0,143,0,0,0,3745,18.72
2023/01/12,00:00,0,3075,508,0,112,0,47,0,0,0,-89,0,0,3653,20.81
2023/01/12,01:00,0,3228,578,0,112,0,50,0,0,0,-222,0,0,3746,20
2023/01/12,02:00,0,3319,656,0,112,0,49,0,0,0,-202,0,0,3935,20.69
2023/01/12,03:00,0,3316,706,0,113,0,47,0,0,0,-176,0,0,4005,21.27
2023/01/12,04:00,0,3315,692,0,113,0,44,0,0,0,-197,0,0,3966,21.3
2023/01/12,05:00,0,3445,488,0,112,0,49,0,0,0,-175,0,0,3919,21.56
2023/01/12,06:00,0,3546,584,0,112,0,44,0,2,0,-262,0,0,4027,22.46
2023/01/12,07:00,0,3533,551,0,111,34,43,0,98,0,-287,0,0,4083,24.66
2023/01/12,08:00,0,3571,636,0,112,211,43,0,0,0,-295,0,0,4278,23.29
2023/01/12,09:00,0,3500,500,0,111,395,40,0,0,0,-232,0,0,4315,22.44
2023/01/12,10:00,0,3123,434,0,108,537,40,0,0,0,-131,0,0,4111,19.81
2023/01/12,11:00,0,2924,425,0,107,616,43,0,0,0,-135,0,0,3979,17.59
2023/01/12,12:00,0,2708,411,0,106,624,48,0,0,0,-249,0,0,3647,10.89
2023/01/12,13:00,0,2807,399,0,107,604,45,0,0,0,-244,0,0,3718,14.61
2023/01/12,14:00,0,2897,460,0,107,470,33,0,0,0,-286,0,0,3680,19.47
2023/01/12,15:00,0,3089,469,0,107,252,29,0,0,0,-296,0,0,3651,20.87
2023/01/12,16:00,0,3257,704,0,107,58,24,0,3,0,-432,0,0,3720,21.8
2023/01/12,17:00,0,3370,847,0,106,0,28,0,99,0,-615,0,0,3837,23.44
2023/01/12,18:00,0,3402,716,0,107,0,31,0,99,0,-491,0,0,3865,23.72
2023/01/12,19:00,0,3417,699,0,107,0,36,0,99,0,-608,0,0,3752,22.54
2023/01/12,20:00,0,3389,485,0,108,0,39,0,99,0,-456,0,0,3664,21.58
2023/01/12,21:00,0,3271,428,0,107,0,40,0,2,0,-312,0,0,3537,21.36
2023/01/12,22:00,0,3197,423,0,108,0,35,0,0,0,-278,0,0,3485,20.28
2023/01/12,23:00,0,3047,432,0,107,0,32,0,0,0,-145,0,0,3473,19.64
2023/01/13,00:00,0,2974,393,0,109,0,37,0,0,0,-112,0,0,3401,19.87
2023/01/13,01:00,0,2956,429,0,107,0,40,0,0,0,-8,0,0,3524,19.86
2023/01/13,02:00,0,3065,572,0,108,0,36,0,1,0,-59,0,0,3723,20.28
2023/01/13,03:00,0,3161,656,0,108,0,32,0,50,0,-170,0,0,3837,19.2
2023/01/13,04:00,0,3154,634,0,108,0,32,0,50,0,-136,0,0,3841,20
2023/01/13,05:00,0,3250,558,0,107,0,35,0,50,0,-201,0,0,3799,20.55
