,,Kansai,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Kansai
2023/01/10,14:00,4961,8193,1314,0,67,1961,131,0,157,3524,0,0,0,20308,15.51
2023/01/10,15:00,4961,8832,1715,0,67,1087,123,-56,0,3513,0,0,0,20241,20.66
2023/01/10,16:00,4961,10976,2114,0,67,243,116,0,176,2096,0,0,0,20748,22.61
2023/01/10,17:00,4961,12129,2260,0,67,0,101,0,232,1530,0,0,0,21280,26
2023/01/10,18:00,4961,11855,2145,0,67,0,106,0,147,1904,0,0,0,21186,25.99
2023/01/10,19:00,4961,11355,2019,0,67,0,108,0,77,1970,0,0,0,20557,24.37
2023/01/10,20:00,4960,11238,1628,0,67,0,101,0,0,1973,0,0,0,19968,22.55
2023/01/10,21:00,4961,10652,1273,0,67,0,94,0,0,2263,0,0,0,19311,21.65
2023/01/10,22:00,4960,10336,913,0,67,0,81,0,0,1901,0,0,0,18258,21.3
2023/01/10,23:00,4960,9909,620,0,67,0,75,0,54,1690,0,0,0,17374,20.62
2023/01/11,00:00,4960,8353,502,0,67,0,58,0,157,2228,0,0,0,16326,21.23
2023/01/11,01:00,4960,8716,490,0,67,0,59,0,119,1510,0,0,0,15922,19.68
2023/01/11,02:00,4960,8641,478,0,67,0,62,0,125,1734,0,0,0,16066,19.78
2023/01/11,03:00,4960,8451,478,0,67,0,62,0,119,1981,0,0,0,16119,19.92
2023/01/11,04:00,4961,8639,490,0,67,0,51,0,133,1656,0,0,0,15996,20.55
2023/01/11,05:00,4961,9105,494,0,67,0,66,0,122,1541,0,0,0,16356,21.56
2023/01/11,06:00,4959,11181,583,0,67,0,48,0,250,1101,0,0,0,18189,23
2023/01/11,07:00,4960,12016,1190,0,67,93,40,0,368,1562,0,0,0,20296,25.79
2023/01/11,08:00,4960,11687,1794,0,67,876,22,0,485,2266,0,0,0,22158,27.01
2023/01/11,09:00,4961,9534,1923,0,67,2038,9,0,267,4117,0,0,0,22915,24.93
2023/01/11,10:00,4961,7904,1487,0,67,3223,7,-15,0,4259,0,0,0,21893,21.02
2023/01/11,11:00,4961,7993,1087,0,67,4047,7,-286,0,3165,0,0,0,21042,17.26
2023/01/11,12:00,4960,7601,1018,0,67,4153,11,-784,0,2564,0,0,0,19591,12.1
2023/01/11,13:00,4960,7915,1020,0,67,3750,16,-257,0,2298,0,0,0,19768,16.25
2023/01/11,14:00,4960,8105,1124,0,67,2797,19,-289,0,2589,0,0,0,19372,18.9
2023/01/11,15:00,4960,9116,1650,0,67,1437,20,-19,0,2169,0,0,0,19401,22.16
2023/01/11,16:00,4960,11031,2002,0,67,318,13,0,141,1632,0,0,0,20166,23.5
2023/01/11,17:00,4959,11840,2150,0,67,0,13,0,219,1707,0,0,0,20956,24.41
2023/01/11,18:00,4959,11609,2060,0,67,0,7,0,161,2145,0,0,0,21010,26.31
2023/01/11,19:00,4959,10870,1940,0,67,0,5,0,131,2679,0,0,0,20653,23.68
2023/01/11,20:00,4960,10720,1798,0,67,0,1,0,122,2474,0,0,0,20142,22.85
2023/01/11,21:00,4960,10388,1496,0,67,0,1,0,214,2362,0,0,0,19490,22.38
2023/01/11,22:00,4961,9746,896,0,67,0,4,0,204,2549,0,0,0,18427,20.8
2023/01/11,23:00,4960,9354,536,0,67,0,3,0,440,2227,0,0,0,17588,18.72
2023/01/12,00:00,4960,8066,477,0,67,0,1,0,143,2835,0,0,0,16550,20.81
2023/01/12,01:00,4961,8341,443,0,67,0,1,0,136,2169,0,0,0,16118,20
2023/01/12,02:00,4961,8259,418,0,67,0,1,0,128,2377,0,0,0,16210,20.69
2023/01/12,03:00,4961,8417,415,0,67,0,0,0,129,2219,0,0,0,16209,21.27
2023/01/12,04:00,4962,8383,414,0,67,0,0,0,127,2072,0,0,0,16024,21.3
2023/01/12,05:00,4962,8806,419,0,67,0,0,0,132,1956,0,0,0,16341,21.56
2023/01/12,06:00,4961,10583,536,0,67,0,0,0,193,1841,0,0,0,18181,22.46
2023/01/12,07:00,4960,12056,1187,0,67,101,0,0,231,1592,0,0,0,20194,24.66
2023/01/12,08:00,4960,11442,1816,0,67,1017,1,0,165,2503,0,0,0,21971,23.29
2023/01/12,09:00,4962,9009,1956,0,67,2434,3,0,103,4007,0,0,0,22541,22.44
2023/01/12,10:00,4961,7350,1569,0,67,3513,5,-131,0,4397,0,0,0,21732,19.81
2023/01/12,11:00,4962,6937,1126,0,67,4128,6,-410,0,4015,0,0,0,20831,17.59
2023/01/12,12:00,4961,6953,997,0,67,4199,7,-787,0,2981,0,0,0,19378,10.89
2023/01/12,13:00,4961,7148,1012,0,67,3783,7,-710,0,3241,0,0,0,19508,14.61
2023/01/12,14:00,4961,7145,1111,0,67,2818,5,-760,0,3717,0,0,0,19063,19.47
2023/01/12,15:00,4961,7690,1576,0,67,1455,3,-438,0,3439,0,0,0,18754,20.87
