,,Kyushu,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Kyushu
2023/01/10,20:00,3003,9288,282,150,513,0,50,0,775,0,-2822,0,0,11239,22.55
2023/01/10,21:00,3002,9245,156,150,511,0,62,0,493,0,-2742,0,0,10877,21.65
2023/01/10,22:00,3000,8725,140,150,508,0,50,0,141,0,-2344,0,0,10370,21.3
2023/01/10,23:00,3003,8265,127,150,512,0,45,0,0,0,-2232,0,0,9870,20.62
2023/01/11,00:00,2998,7874,126,151,514,0,37,0,0,0,-2280,0,0,9420,21.23
2023/01/11,01:00,2999,7548,129,151,513,0,33,0,0,0,-1918,0,0,9455,19.68
2023/01/11,02:00,2997,8132,138,150,510,0,28,0,0,0,-2026,0,0,9929,19.78
2023/01/11,03:00,3001,8560,127,150,512,0,22,0,172,0,-2172,0,0,10372,19.92
2023/01/11,04:00,3003,8567,138,150,512,0,26,0,181,0,-2014,0,0,10563,20.55
2023/01/11,05:00,3000,8573,181,150,516,0,34,0,344,0,-2000,0,0,10798,21.56
2023/01/11,06:00,3001,8662,313,150,511,0,35,0,816,0,-2040,0,0,11448,23
2023/01/11,07:00,3003,9026,404,150,508,113,30,0,1579,0,-2566,0,0,12247,25.79
2023/01/11,08:00,3001,8984,284,150,508,1489,25,0,1209,0,-3052,0,0,12598,27.01
2023/01/11,09:00,2982,7420,169,150,507,3415,17,-245,0,0,-2676,1,0,11739,24.93
2023/01/11,10:00,2913,5278,138,145,495,5248,10,-1005,0,0,-2378,1,0,10844,20.31
2023/01/11,11:00,2929,4840,133,146,434,6473,12,-1552,0,0,-2952,2,0,10463,14.67
2023/01/11,12:00,2963,4206,161,146,420,6818,8,-2032,0,0,-2820,2,0,9870,5.51
2023/01/11,13:00,2994,4729,132,145,430,6135,9,-1945,0,0,-2738,2,0,9891,12.21
2023/01/11,14:00,3002,5320,130,148,490,4807,8,-1526,0,0,-2608,1,0,9771,17.66
2023/01/11,15:00,3004,5835,127,149,502,2962,6,-646,0,0,-2088,1,0,9851,22.16
