,,Shikoku,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Shikoku
2023/01/07,15:00,880,3010,70,0,180,440,180,0,0,1170,0,0,0,3590,19.73
2023/01/07,16:00,880,3170,120,0,180,130,180,0,0,1030,0,0,0,3630,21.69
2023/01/07,17:00,880,3300,230,0,180,0,180,0,20,1020,0,0,0,3770,23.92
2023/01/07,18:00,880,3300,260,0,180,0,180,0,250,1250,0,0,0,3800,24.15
2023/01/07,19:00,880,3280,230,0,170,0,180,0,250,1300,0,0,0,3690,22.99
2023/01/07,20:00,880,3210,160,0,180,0,170,0,0,1030,0,0,0,3570,23.26
2023/01/07,21:00,880,3150,160,0,180,0,170,0,0,1150,0,0,0,3390,22.62
2023/01/07,22:00,880,3050,90,0,180,0,160,0,0,1200,0,0,0,3160,21.78
2023/01/07,23:00,880,2920,60,0,180,0,160,0,0,1140,0,0,0,3060,19.91
2023/01/08,00:00,880,2870,50,0,180,0,170,0,0,1180,0,0,0,2970,22.38
2023/01/08,01:00,880,2900,40,0,170,0,160,0,0,1130,0,0,0,3020,20.68
2023/01/08,02:00,880,3020,40,0,170,0,170,0,0,1100,0,0,0,3180,20.55
2023/01/08,03:00,880,3020,50,0,170,0,170,0,0,960,0,0,0,3330,21.09
2023/01/08,04:00,880,2990,40,0,120,0,170,0,0,850,0,0,0,3350,20
2023/01/08,05:00,880,2950,40,0,120,0,160,0,0,890,0,0,0,3260,19.78
2023/01/08,06:00,880,3050,80,0,120,0,150,0,10,1190,0,0,0,3100,20.55
2023/01/08,07:00,880,3120,130,0,120,70,140,0,10,1370,0,0,0,3100,21.2
2023/01/08,08:00,880,2820,90,0,120,520,120,0,0,1250,0,0,0,3300,18.79
2023/01/08,09:00,880,2620,90,0,120,1060,90,0,0,1690,0,0,0,3170,17.95
2023/01/08,10:00,880,2370,80,0,120,1440,70,0,0,1940,0,0,0,3020,9.81
2023/01/08,11:00,880,2050,80,0,120,1740,50,0,300,1730,0,0,0,2890,5
2023/01/08,12:00,880,1890,90,0,120,1860,50,0,290,1780,0,0,0,2820,4.65
2023/01/08,13:00,880,1940,70,0,120,1710,80,0,160,1900,0,0,0,2740,0.71
2023/01/08,14:00,880,2120,70,0,120,1340,100,0,0,1950,0,0,0,2680,7.05
2023/01/08,15:00,880,2800,100,0,120,800,70,0,0,2030,0,0,0,2740,18.96
2023/01/08,16:00,880,3070,110,0,120,230,90,0,0,1580,0,0,0,2920,20.86
2023/01/08,17:00,880,3310,220,0,120,0,80,0,10,1360,0,0,0,3260,23.42
2023/01/08,18:00,880,3350,260,0,120,0,70,0,20,1260,0,0,0,3440,22.84
2023/01/08,19:00,880,3410,220,0,120,0,70,0,0,1270,0,0,0,3430,22.41
2023/01/08,20:00,880,3370,170,0,120,0,70,0,0,1230,0,0,0,3380,21.75
2023/01/08,21:00,880,3360,100,0,120,0,60,0,0,1260,0,0,0,3260,21.74
2023/01/08,22:00,880,3280,60,0,120,0,50,0,0,1330,0,0,0,3060,21.49
2023/01/08,23:00,880,3260,50,0,120,0,50,0,0,1350,0,0,0,3010,19.53
2023/01/09,00:00,880,3210,50,0,120,0,50,0,0,1330,0,0,0,2980,20.39
2023/01/09,01:00,880,3270,40,0,120,0,40,0,0,1280,0,0,0,3070,18.01
2023/01/09,02:00,880,3310,40,0,120,0,30,0,0,1120,0,0,0,3260,20.32
2023/01/09,03:00,880,3270,50,0,120,0,30,0,0,980,0,0,0,3370,21.35
2023/01/09,04:00,880,3260,40,0,120,0,30,0,0,960,0,0,0,3370,21.5
2023/01/09,05:00,880,3320,40,0,120,0,20,0,0,1090,0,0,0,3290,19.2
2023/01/09,06:00,880,3330,80,0,120,0,10,0,0,1180,0,0,0,3240,20.44
2023/01/09,07:00,880,3350,110,0,120,80,10,0,0,1210,0,0,0,3340,22.88
2023/01/09,08:00,880,3200,80,0,120,600,10,0,10,1250,0,0,0,3650,24.18
2023/01/09,09:00,880,2980,100,0,120,1190,10,0,0,1750,0,0,0,3530,21.18
2023/01/09,10:00,880,2880,110,0,120,1640,0,0,0,2300,0,0,0,3330,18.29
2023/01/09,11:00,880,2640,100,0,120,1890,0,0,290,2130,0,0,0,3210,13
2023/01/09,12:00,880,2530,90,0,120,1920,10,0,290,2160,0,0,0,3100,6.5
2023/01/09,13:00,880,2690,70,0,120,1750,10,0,290,2140,0,0,0,3090,13.68
2023/01/09,14:00,880,2940,50,0,120,1360,20,0,150,2180,0,0,0,3040,17.58
2023/01/09,15:00,880,3150,60,0,120,800,20,0,0,1970,0,0,0,3060,20.72
2023/01/09,16:00,880,3410,110,0,120,210,30,0,0,1600,0,0,0,3160,22.62
2023/01/09,17:00,880,3540,270,0,120,0,30,0,0,1400,0,0,0,3440,24.15
2023/01/09,18:00,880,3490,260,0,120,0,30,0,20,1230,0,0,0,3570,24.54
2023/01/09,19:00,880,3420,240,0,120,0,40,0,20,1230,0,0,0,3490,24.46
2023/01/09,20:00,880,3410,150,0,120,0,60,0,0,1240,0,0,0,3380,23.54
2023/01/09,21:00,880,3320,110,0,120,0,80,0,0,1310,0,0,0,3200,21.95
2023/01/09,22:00,880,3280,70,0,120,0,90,0,0,1480,0,0,0,2960,21.24
2023/01/09,23:00,880,3270,50,0,120,0,130,0,0,1580,0,0,0,2870,19.66
2023/01/10,00:00,880,3220,50,0,120,0,170,0,0,1650,0,0,0,2790,20.29
2023/01/10,01:00,880,3200,40,0,120,0,190,0,0,1570,0,0,0,2860,20
2023/01/10,02:00,880,3160,40,0,120,0,190,0,0,1370,0,0,0,3020,20
2023/01/10,03:00,880,3370,50,0,120,0,190,0,0,1420,0,0,0,3190,20
2023/01/10,04:00,880,3390,40,0,120,0,190,0,0,1330,0,0,0,3290,19.91
2023/01/10,05:00,880,3450,40,0,120,0,160,0,0,1310,0,0,0,3340,19.87
2023/01/10,06:00,880,3550,110,0,120,0,160,0,0,1360,0,0,0,3460,20.75
2023/01/10,07:00,880,3610,230,0,120,70,170,0,0,1480,0,0,0,3600,22.45
2023/01/10,08:00,880,3490,140,0,120,510,160,0,0,1240,0,0,0,4060,23.02
2023/01/10,09:00,880,3520,90,0,120,980,130,0,0,1670,0,0,0,4050,22.32
2023/01/10,10:00,880,3290,90,0,120,1370,110,0,10,1970,0,0,0,3900,17.84
2023/01/10,11:00,880,3060,80,0,120,1510,100,0,0,1970,0,0,0,3780,17.36
2023/01/10,12:00,880,3150,80,0,120,1560,100,0,290,2040,0,0,0,3560,14.87
2023/01/10,13:00,880,3090,60,0,120,1690,110,0,0,2280,0,0,0,3670,17.65
2023/01/10,14:00,880,3280,80,0,120,1400,100,0,0,2290,0,0,0,3570,15.31
2023/01/10,15:00,880,3560,80,0,120,840,90,0,0,2000,0,0,0,3570,19.95
2023/01/10,16:00,880,3810,140,0,130,250,90,0,0,1570,0,0,0,3730,22.61
2023/01/10,17:00,880,3800,320,0,160,0,80,0,20,1360,0,0,0,3900,26
2023/01/10,18:00,880,4000,370,0,170,0,70,0,250,1730,0,0,0,4010,25.99
2023/01/10,19:00,880,4060,320,0,170,0,60,0,250,1810,0,0,0,3930,24.37
2023/01/10,20:00,880,3820,160,0,170,0,60,0,0,1270,0,0,0,3820,22.55
2023/01/10,21:00,880,3860,110,0,180,0,50,0,0,1450,0,0,0,3630,21.65
2023/01/10,22:00,880,3730,60,0,180,0,40,0,0,1520,0,0,0,3370,21.3
2023/01/10,23:00,880,3610,50,0,180,0,20,0,0,1430,0,0,0,3310,20.62
2023/01/11,00:00,880,3420,50,0,180,0,30,0,0,1290,0,0,0,3270,21.23
2023/01/11,01:00,880,3400,30,0,180,0,10,0,0,1150,0,0,0,3350,19.68
2023/01/11,02:00,880,3390,40,0,180,0,10,0,0,990,0,0,0,3510,19.78
2023/01/11,03:00,880,3610,40,0,180,0,10,0,0,1090,0,0,0,3630,19.92
2023/01/11,04:00,880,3490,40,0,180,0,10,0,0,970,0,0,0,3630,20.55
2023/01/11,05:00,880,3540,70,0,180,0,10,0,0,1020,0,0,0,3660,21.56
2023/01/11,06:00,880,3820,210,0,180,0,10,0,0,1250,0,0,0,3850,23
2023/01/11,07:00,880,4120,260,0,180,80,10,0,0,1460,0,0,0,4070,25.79
2023/01/11,08:00,880,3850,130,0,180,620,10,0,0,1270,0,0,0,4400,27.01
2023/01/11,09:00,880,3450,70,0,180,1230,0,0,0,1620,0,0,0,4190,24.93
2023/01/11,10:00,880,3020,60,0,180,1690,0,0,0,1900,0,0,0,3930,20.31
2023/01/11,11:00,880,2830,60,0,180,1940,0,0,0,2090,0,0,0,3800,17.26
2023/01/11,12:00,880,2850,60,0,180,1970,0,0,290,2080,0,0,0,3570,12.1
2023/01/11,13:00,880,2790,50,0,180,1800,0,0,0,2100,0,0,0,3600,16.11
2023/01/11,14:00,880,2890,50,0,180,1410,0,0,0,1890,0,0,0,3520,18.39
2023/01/11,15:00,880,3350,80,0,180,850,10,0,0,1820,0,0,0,3530,22.16
2023/01/11,16:00,880,3910,200,0,180,260,0,0,0,1730,0,0,0,3700,23.5
2023/01/11,17:00,880,4110,290,0,180,0,0,0,20,1630,0,0,0,3850,24.41
2023/01/11,18:00,880,4090,290,0,180,0,0,0,250,1710,0,0,0,3980,26.31
2023/01/11,19:00,880,4050,160,0,180,0,0,0,240,1610,0,0,0,3900,23.68
2023/01/11,20:00,880,4080,130,0,180,0,0,0,0,1490,0,0,0,3780,22.85
2023/01/11,21:00,880,3770,130,0,180,0,10,0,0,1390,0,0,0,3580,22.38
