,,Hokkaido,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Hokkaido
2023/01/09,13:00,0,2428,262,11,259,663,131,-415,0,411,0,0,0,3749,13.68
2023/01/09,14:00,0,2615,316,12,258,334,146,-156,0,411,0,0,0,3937,18.39
2023/01/09,15:00,0,2804,389,12,246,62,169,0,4,418,0,0,0,4103,21.2
2023/01/09,16:00,0,2923,547,12,240,0,189,0,48,253,0,0,0,4211,21.94
2023/01/09,17:00,0,3200,630,11,246,0,214,0,0,102,0,0,0,4403,24.15
2023/01/09,18:00,0,3237,624,12,249,0,226,0,58,47,0,0,0,4452,24.54
2023/01/09,19:00,0,3155,616,12,249,0,225,0,57,27,0,0,0,4341,24.46
2023/01/09,20:00,0,3254,512,12,249,0,230,0,12,26,0,0,0,4295,23.54
2023/01/09,21:00,0,3217,490,12,249,0,225,0,27,43,0,0,0,4263,21.95
2023/01/09,22:00,0,3071,470,12,249,0,215,0,23,30,0,0,0,4070,21.24
2023/01/09,23:00,0,2987,454,11,250,0,203,0,8,217,0,0,0,4129,19.66
2023/01/10,00:00,0,2908,391,11,250,0,225,0,5,282,0,0,0,4072,20.29
2023/01/10,01:00,0,3027,391,11,250,0,233,0,38,291,0,0,0,4241,20
2023/01/10,02:00,0,3247,415,11,250,0,225,0,0,263,0,0,0,4411,20
2023/01/10,03:00,0,3216,442,11,250,0,229,0,53,328,0,0,0,4530,20
2023/01/10,04:00,0,3198,438,11,250,0,230,0,97,359,0,0,0,4583,19.91
2023/01/10,05:00,0,3136,472,11,250,0,212,0,117,364,0,0,0,4562,19.87
2023/01/10,06:00,0,3208,518,12,261,0,194,0,62,381,0,0,0,4636,20.75
2023/01/10,07:00,0,3176,591,11,268,57,187,0,59,200,0,0,0,4548,24.48
2023/01/10,08:00,0,3036,575,12,268,284,185,0,62,357,0,0,0,4779,23.02
2023/01/10,09:00,0,2994,547,12,267,468,185,0,58,335,0,0,0,4867,22.32
2023/01/10,10:00,0,2886,442,12,268,583,205,0,0,378,0,0,0,4773,17.84
2023/01/10,11:00,0,2849,365,12,268,615,240,0,0,340,0,0,0,4688,18.7
2023/01/10,12:00,0,2564,351,12,268,608,257,0,0,394,0,0,0,4454,14.87
2023/01/10,13:00,0,2732,367,12,268,549,277,0,0,314,0,0,0,4518,17.72
2023/01/10,14:00,0,2832,403,11,268,344,268,0,59,438,0,0,0,4623,15.51
2023/01/10,15:00,0,3115,501,12,268,88,271,0,95,423,0,0,0,4773,20.66
2023/01/10,16:00,0,3169,664,12,268,0,262,0,253,214,0,0,0,4842,24.98
2023/01/10,17:00,0,3264,764,12,267,0,270,0,308,0,-31,0,0,4854,31.92
2023/01/10,18:00,0,3311,777,12,267,0,290,0,245,0,-110,0,0,4792,28.32
2023/01/10,19:00,0,3116,701,12,265,0,258,0,60,208,0,0,0,4621,24.96
2023/01/10,20:00,0,3021,564,11,257,0,215,0,53,396,0,0,0,4517,22.55
2023/01/10,21:00,0,2988,496,12,250,0,181,0,59,428,0,0,0,4415,21.65
2023/01/10,22:00,0,2789,449,12,253,0,172,0,58,404,0,0,0,4136,22.92
2023/01/10,23:00,0,2797,427,12,253,0,197,0,65,423,0,0,0,4174,20.62
2023/01/11,00:00,0,2754,433,11,254,0,220,0,0,415,0,0,0,4086,21.23
2023/01/11,01:00,0,2836,454,10,253,0,239,0,0,438,0,0,0,4230,19.68
2023/01/11,02:00,0,3005,454,11,253,0,230,0,0,427,0,0,0,4380,19.78
2023/01/11,03:00,0,3142,442,11,257,0,219,0,0,412,0,0,0,4483,19.92
2023/01/11,04:00,0,3187,424,10,262,0,222,0,0,403,0,0,0,4508,20.55
2023/01/11,05:00,0,3242,424,11,262,0,211,0,0,357,0,0,0,4506,21.56
2023/01/11,06:00,0,3290,473,11,261,0,203,0,0,366,0,0,0,4604,23.97
2023/01/11,07:00,0,3202,629,11,263,66,207,0,4,174,0,0,0,4555,24.98
2023/01/11,08:00,0,3323,628,10,260,323,226,0,100,0,-56,0,0,4814,25.93
2023/01/11,09:00,0,3153,552,12,247,531,237,0,93,0,0,0,0,4827,25.89
2023/01/11,10:00,0,2938,321,13,219,648,256,0,0,262,0,0,0,4656,21.92
2023/01/11,11:00,0,2723,254,12,206,677,280,0,0,336,0,0,0,4487,18.39
2023/01/11,12:00,0,2308,241,13,205,709,277,0,6,442,0,0,0,4202,15
2023/01/11,13:00,0,2510,271,13,206,646,245,0,2,365,0,0,0,4258,18.39
2023/01/11,14:00,0,2869,328,12,207,401,185,0,0,213,0,0,0,4215,19.2
2023/01/11,15:00,0,3090,385,13,207,109,173,0,12,359,0,0,0,4348,22.81
2023/01/11,16:00,0,3365,540,12,206,0,152,0,167,89,0,0,0,4531,24.57
2023/01/11,17:00,0,3423,711,13,215,1,132,0,253,0,-168,0,0,4580,31.2
2023/01/11,18:00,0,3271,738,12,247,0,118,0,289,0,-175,0,0,4501,26.31
2023/01/11,19:00,0,3264,640,13,273,0,106,0,242,0,-167,0,0,4371,23.68
2023/01/11,20:00,0,3134,497,12,278,0,73,0,172,29,0,0,0,4194,22.85
2023/01/11,21:00,0,2985,424,13,276,0,62,0,71,227,0,0,0,4058,22.38
2023/01/11,22:00,0,2698,394,12,277,0,85,0,57,313,0,0,0,3836,20.8
2023/01/11,23:00,0,2764,384,13,276,0,107,0,2,381,0,0,0,3926,19.06
2023/01/12,00:00,0,2797,424,11,275,0,102,0,0,215,0,0,0,3824,20.81
2023/01/12,01:00,0,2883,410,12,275,0,107,0,0,260,0,0,0,3947,20
2023/01/12,02:00,0,2978,409,11,275,0,134,0,0,272,0,0,0,4079,20.69
2023/01/12,03:00,0,3064,408,12,275,0,152,0,0,297,0,0,0,4207,21.27
2023/01/12,04:00,0,3095,413,11,275,0,152,0,0,320,0,0,0,4266,21.3
2023/01/12,05:00,0,3112,403,12,274,0,135,0,0,293,0,0,0,4230,21.56
2023/01/12,06:00,0,3102,424,11,273,0,140,0,0,327,0,0,0,4276,22.47
2023/01/12,07:00,0,3028,590,12,273,79,142,0,0,142,0,0,0,4265,23.53
2023/01/12,08:00,0,2973,608,11,273,471,129,0,28,0,-75,0,0,4417,23.29
2023/01/12,09:00,0,2638,473,12,272,874,145,0,0,0,-152,0,0,4262,22.44
2023/01/12,10:00,0,2442,240,12,273,1171,173,0,0,0,-209,0,0,4102,19.85
2023/01/12,11:00,0,2079,218,13,275,1302,168,0,54,0,-117,0,0,3993,17.59
2023/01/12,12:00,0,2164,209,12,277,1235,156,-204,0,0,-116,0,0,3733,10.89
2023/01/12,13:00,0,2335,236,13,277,1020,132,-191,0,0,-35,0,0,3787,14.61
2023/01/12,14:00,0,2350,289,12,277,628,106,0,1,130,0,0,0,3793,19.55
2023/01/12,15:00,0,2825,383,12,276,177,90,0,26,234,0,0,0,4022,23.09
2023/01/12,16:00,0,3271,563,13,277,1,67,0,91,17,0,0,0,4299,23.63
2023/01/12,17:00,0,3387,691,12,277,0,60,0,181,0,-187,0,0,4420,26.55
2023/01/12,18:00,0,3385,726,13,277,0,58,0,224,0,-296,0,0,4386,24.17
2023/01/12,19:00,0,3269,620,12,277,0,59,0,191,0,-162,0,0,4265,23.12
2023/01/12,20:00,0,3309,412,13,270,0,57,0,112,0,-37,0,0,4136,23.18
2023/01/12,21:00,0,2947,373,12,268,0,80,0,74,264,0,0,0,4018,22.34
2023/01/12,22:00,0,2802,352,13,268,0,88,0,0,298,0,0,0,3820,22.75
2023/01/12,23:00,0,2831,343,12,268,0,100,0,0,305,0,0,0,3859,19.84
2023/01/13,00:00,0,3014,356,12,268,0,125,0,0,20,0,0,0,3795,19.06
2023/01/13,01:00,0,3183,435,11,268,0,145,0,0,0,-113,0,0,3929,20.03
2023/01/13,02:00,0,3389,441,12,268,0,140,0,0,0,-144,0,0,4106,20.28
2023/01/13,03:00,0,3472,382,11,268,0,122,0,0,0,-34,0,0,4222,19.2
2023/01/13,04:00,0,3539,392,11,268,0,140,0,0,0,-63,0,0,4288,20
2023/01/13,05:00,0,3457,422,11,268,0,162,0,0,0,-53,0,0,4266,21.26
2023/01/13,06:00,0,3491,489,12,268,0,190,0,0,0,-155,0,0,4294,21.51
2023/01/13,07:00,0,3344,578,11,268,95,208,0,0,0,-291,0,0,4213,23.46
